antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric,total_items,coverage,rule_set
"frozenset({'standard_of_living_index_3', 'edu_interaction_(12.0, 16.0]'})",frozenset({'wife_edu_4'}),0.010638297872340425,0.05319148936170213,0.010638297872340425,1.0,18.8,0.010072430964237211,inf,0.9569892473118279,3,0.010638297872340425,"frozenset({'standard_of_living_index_3', 'edu_interaction_(12.0, 16.0]', 'wife_edu_4'})"
"frozenset({'standard_of_living_index_3', 'wife_edu_4'})","frozenset({'edu_interaction_(12.0, 16.0]'})",0.010638297872340425,0.05319148936170213,0.010638297872340425,1.0,18.8,0.010072430964237211,inf,0.9569892473118279,3,0.010638297872340425,"frozenset({'standard_of_living_index_3', 'edu_interaction_(12.0, 16.0]', 'wife_edu_4'})"
"frozenset({'num_children_(5.0, 16.0]', 'edu_interaction_(12.0, 16.0]'})",frozenset({'wife_edu_4'}),0.010638297872340425,0.05319148936170213,0.010638297872340425,1.0,18.8,0.010072430964237211,inf,0.9569892473118279,3,0.010638297872340425,"frozenset({'num_children_(5.0, 16.0]', 'edu_interaction_(12.0, 16.0]', 'wife_edu_4'})"
"frozenset({'num_children_(5.0, 16.0]', 'wife_edu_4'})","frozenset({'edu_interaction_(12.0, 16.0]'})",0.010638297872340425,0.05319148936170213,0.010638297872340425,1.0,18.8,0.010072430964237211,inf,0.9569892473118279,3,0.010638297872340425,"frozenset({'num_children_(5.0, 16.0]', 'edu_interaction_(12.0, 16.0]', 'wife_edu_4'})"
"frozenset({'edu_interaction_(12.0, 16.0]', 'standard_of_living_index_2'})",frozenset({'wife_edu_4'}),0.010638297872340425,0.05319148936170213,0.010638297872340425,1.0,18.8,0.010072430964237211,inf,0.9569892473118279,3,0.010638297872340425,"frozenset({'edu_interaction_(12.0, 16.0]', 'standard_of_living_index_2', 'wife_edu_4'})"
"frozenset({'standard_of_living_index_2', 'wife_edu_4'})","frozenset({'edu_interaction_(12.0, 16.0]'})",0.010638297872340425,0.05319148936170213,0.010638297872340425,1.0,18.8,0.010072430964237211,inf,0.9569892473118279,3,0.010638297872340425,"frozenset({'standard_of_living_index_2', 'wife_edu_4', 'edu_interaction_(12.0, 16.0]'})"
"frozenset({'edu_interaction_(12.0, 16.0]', 'age_children_interaction_(168.0, 768.0]'})",frozenset({'wife_edu_4'}),0.010638297872340425,0.05319148936170213,0.010638297872340425,1.0,18.8,0.010072430964237211,inf,0.9569892473118279,3,0.010638297872340425,"frozenset({'edu_interaction_(12.0, 16.0]', 'age_children_interaction_(168.0, 768.0]', 'wife_edu_4'})"
"frozenset({'wife_edu_4', 'age_children_interaction_(168.0, 768.0]'})","frozenset({'edu_interaction_(12.0, 16.0]'})",0.010638297872340425,0.05319148936170213,0.010638297872340425,1.0,18.8,0.010072430964237211,inf,0.9569892473118279,3,0.010638297872340425,"frozenset({'wife_edu_4', 'age_children_interaction_(168.0, 768.0]', 'edu_interaction_(12.0, 16.0]'})"
"frozenset({'husband_occupation_2', 'edu_interaction_(12.0, 16.0]'})",frozenset({'wife_edu_4'}),0.010638297872340425,0.05319148936170213,0.010638297872340425,1.0,18.8,0.010072430964237211,inf,0.9569892473118279,3,0.010638297872340425,"frozenset({'husband_occupation_2', 'edu_interaction_(12.0, 16.0]', 'wife_edu_4'})"
"frozenset({'husband_occupation_2', 'wife_edu_4'})","frozenset({'edu_interaction_(12.0, 16.0]'})",0.010638297872340425,0.05319148936170213,0.010638297872340425,1.0,18.8,0.010072430964237211,inf,0.9569892473118279,3,0.010638297872340425,"frozenset({'husband_occupation_2', 'edu_interaction_(12.0, 16.0]', 'wife_edu_4'})"
