antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric,total_items,coverage
"frozenset({'age_children_interaction_(87.0, 164.0]', 'edu_interaction_(12.0, 16.0]'})",frozenset({'standard_of_living_index_4'}),0.09114583333333333,0.4444444444444444,0.0720486111111111,0.7904761904761904,1.7785714285714287,0.03153935185185185,2.6515151515151514,0.4816515345047814,3,0.09114583333333333
"frozenset({'standard_of_living_index_4', 'age_children_interaction_(87.0, 164.0]'})","frozenset({'edu_interaction_(12.0, 16.0]'})",0.12065972222222222,0.3480902777777778,0.0720486111111111,0.5971223021582733,1.7154236710382316,0.030048134886188266,1.6181330605158728,0.47428014129568613,3,0.12065972222222222
"frozenset({'age_children_interaction_(164.0, 768.0]', 'edu_interaction_(12.0, 16.0]'})",frozenset({'standard_of_living_index_4'}),0.06770833333333333,0.4444444444444444,0.049479166666666664,0.7307692307692308,1.6442307692307694,0.019386574074074077,2.063492063492064,0.4202685484661375,3,0.06770833333333333
"frozenset({'edu_interaction_(12.0, 16.0]'})",frozenset({'standard_of_living_index_4'}),0.3480902777777778,0.4444444444444444,0.22743055555555555,0.6533665835411471,1.470074812967581,0.07272376543209877,1.6027178257394084,0.49050121466543345,2,0.3480902777777778
frozenset({'standard_of_living_index_4'}),"frozenset({'edu_interaction_(12.0, 16.0]'})",0.4444444444444444,0.3480902777777778,0.22743055555555555,0.51171875,1.470074812967581,0.07272376543209877,1.3351111111111111,0.5755725190839696,2,0.4444444444444444
frozenset({'standard_of_living_index_2'}),frozenset({'husband_occupation_3'}),0.1545138888888889,0.4131944444444444,0.09027777777777778,0.5842696629213483,1.4140307808516666,0.026433497299382713,1.4115052552552552,0.346311799083873,2,0.1545138888888889
"frozenset({'husband_occupation_2', 'edu_interaction_(12.0, 16.0]'})",frozenset({'standard_of_living_index_4'}),0.06510416666666667,0.4444444444444444,0.04079861111111111,0.6266666666666666,1.41,0.011863425925925927,1.488095238095238,0.3110294553428554,3,0.06510416666666667
"frozenset({'standard_of_living_index_4', 'age_children_interaction_(42.0, 87.0]'})","frozenset({'edu_interaction_(12.0, 16.0]'})",0.10850694444444445,0.3480902777777778,0.05295138888888889,0.488,1.401935162094763,0.015181176456404315,1.2732611762152777,0.32159560713202534,3,0.10850694444444445
