Cluster,Rule,Coverage Cluster,Coverage Global,Coverage Difference,Abs Coverage Difference
0,"frozenset({'wife_edu_4', 'edu_interaction_(12.0, 16.0]'})",0.05319148936170213,0.39134125636672323,-0.3381497670050211,0.3381497670050211
0,"frozenset({'wife_edu_4', 'edu_interaction_(12.0, 16.0]'})",0.05319148936170213,0.39134125636672323,-0.3381497670050211,0.3381497670050211
0,"frozenset({'husband_edu_4', 'wife_edu_4', 'edu_interaction_(12.0, 16.0]'})",0.05319148936170213,0.39134125636672323,-0.3381497670050211,0.3381497670050211
0,"frozenset({'husband_edu_4', 'wife_edu_4', 'edu_interaction_(12.0, 16.0]'})",0.05319148936170213,0.39134125636672323,-0.3381497670050211,0.3381497670050211
0,"frozenset({'husband_edu_4', 'wife_edu_4', 'edu_interaction_(12.0, 16.0]'})",0.05319148936170213,0.39134125636672323,-0.3381497670050211,0.3381497670050211
0,"frozenset({'husband_edu_4', 'wife_edu_4', 'edu_interaction_(12.0, 16.0]'})",0.05319148936170213,0.39134125636672323,-0.3381497670050211,0.3381497670050211
0,"frozenset({'husband_edu_4', 'wife_edu_4', 'edu_interaction_(12.0, 16.0]'})",0.05319148936170213,0.367572156196944,-0.31438066683524185,0.31438066683524185
0,"frozenset({'husband_edu_4', 'wife_edu_4', 'edu_interaction_(12.0, 16.0]'})",0.05319148936170213,0.367572156196944,-0.31438066683524185,0.31438066683524185
0,"frozenset({'husband_edu_4', 'wife_edu_4', 'edu_interaction_(12.0, 16.0]'})",0.05319148936170213,0.367572156196944,-0.31438066683524185,0.31438066683524185
0,"frozenset({'husband_edu_4', 'wife_edu_4', 'edu_interaction_(12.0, 16.0]'})",0.05319148936170213,0.367572156196944,-0.31438066683524185,0.31438066683524185
0,"frozenset({'wife_edu_4', 'edu_interaction_(12.0, 16.0]'})",0.05319148936170213,0.367572156196944,-0.31438066683524185,0.31438066683524185
0,"frozenset({'husband_edu_4', 'wife_edu_4', 'edu_interaction_(12.0, 16.0]'})",0.05319148936170213,0.367572156196944,-0.31438066683524185,0.31438066683524185
0,"frozenset({'husband_edu_4', 'wife_edu_4', 'edu_interaction_(12.0, 16.0]'})",0.05319148936170213,0.367572156196944,-0.31438066683524185,0.31438066683524185
0,"frozenset({'husband_edu_4', 'wife_edu_4', 'edu_interaction_(12.0, 16.0]'})",0.05319148936170213,0.367572156196944,-0.31438066683524185,0.31438066683524185
0,"frozenset({'husband_edu_4', 'wife_edu_4', 'edu_interaction_(12.0, 16.0]'})",0.05319148936170213,0.367572156196944,-0.31438066683524185,0.31438066683524185
0,"frozenset({'husband_edu_4', 'wife_edu_4', 'edu_interaction_(12.0, 16.0]'})",0.05319148936170213,0.367572156196944,-0.31438066683524185,0.31438066683524185
0,"frozenset({'husband_edu_4', 'wife_edu_4', 'edu_interaction_(12.0, 16.0]'})",0.05319148936170213,0.367572156196944,-0.31438066683524185,0.31438066683524185
0,"frozenset({'husband_edu_4', 'wife_edu_4', 'edu_interaction_(12.0, 16.0]'})",0.05319148936170213,0.367572156196944,-0.31438066683524185,0.31438066683524185
0,"frozenset({'husband_edu_4', 'wife_edu_4', 'edu_interaction_(12.0, 16.0]'})",0.05319148936170213,0.367572156196944,-0.31438066683524185,0.31438066683524185
0,"frozenset({'husband_edu_4', 'wife_edu_4', 'edu_interaction_(12.0, 16.0]'})",0.05319148936170213,0.367572156196944,-0.31438066683524185,0.31438066683524185
0,"frozenset({'husband_edu_4', 'wife_edu_4', 'edu_interaction_(12.0, 16.0]'})",0.05319148936170213,0.367572156196944,-0.31438066683524185,0.31438066683524185
0,"frozenset({'husband_edu_4', 'wife_edu_4', 'edu_interaction_(12.0, 16.0]'})",0.05319148936170213,0.367572156196944,-0.31438066683524185,0.31438066683524185
0,"frozenset({'husband_edu_4', 'wife_edu_4', 'edu_interaction_(12.0, 16.0]'})",0.05319148936170213,0.367572156196944,-0.31438066683524185,0.31438066683524185
0,"frozenset({'wife_edu_4', 'edu_interaction_(12.0, 16.0]'})",0.05319148936170213,0.367572156196944,-0.31438066683524185,0.31438066683524185
0,"frozenset({'wife_edu_4', 'standard_of_living_index_4', 'edu_interaction_(12.0, 16.0]'})",0.02127659574468085,0.26570458404074704,-0.24442798829606618,0.24442798829606618
0,"frozenset({'wife_edu_4', 'standard_of_living_index_4', 'edu_interaction_(12.0, 16.0]'})",0.02127659574468085,0.26570458404074704,-0.24442798829606618,0.24442798829606618
0,"frozenset({'wife_edu_4', 'standard_of_living_index_4', 'edu_interaction_(12.0, 16.0]'})",0.02127659574468085,0.2563667232597623,-0.23509012751508143,0.23509012751508143
0,"frozenset({'wife_edu_4', 'standard_of_living_index_4', 'edu_interaction_(12.0, 16.0]'})",0.02127659574468085,0.2563667232597623,-0.23509012751508143,0.23509012751508143
0,"frozenset({'wife_edu_4', 'age_children_interaction_(90.0, 168.0]', 'edu_interaction_(12.0, 16.0]'})",0.02127659574468085,0.11375212224108659,-0.09247552649640574,0.09247552649640574
0,"frozenset({'wife_edu_4', 'age_children_interaction_(90.0, 168.0]', 'edu_interaction_(12.0, 16.0]'})",0.02127659574468085,0.11375212224108659,-0.09247552649640574,0.09247552649640574
0,"frozenset({'wife_edu_4', 'wife_age_(32.0, 39.0]', 'edu_interaction_(12.0, 16.0]'})",0.02127659574468085,0.11205432937181664,-0.09077773362713579,0.09077773362713579
0,"frozenset({'wife_edu_4', 'edu_interaction_(12.0, 16.0]', 'wife_age_(32.0, 39.0]'})",0.02127659574468085,0.11205432937181664,-0.09077773362713579,0.09077773362713579
