antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric,total_items,coverage
"frozenset({'standard_of_living_index_4', 'age_children_interaction_(87.0, 164.0]'})","frozenset({'edu_interaction_(12.0, 16.0]'})",0.13602941176470587,0.39705882352941174,0.08455882352941177,0.6216216216216217,1.5655655655655658,0.030547145328719737,1.5934873949579837,0.418131359851989,3,0.13602941176470587
"frozenset({'edu_interaction_(6.0, 12.0]', 'standard_of_living_index_4'})",frozenset({'husband_occupation_2'}),0.15808823529411764,0.2757352941176471,0.0661764705882353,0.4186046511627907,1.518139534883721,0.02258596453287197,1.2457352941176472,0.40538573508005815,3,0.15808823529411764
"frozenset({'age_children_interaction_(42.0, 87.0]', 'standard_of_living_index_3'})","frozenset({'edu_interaction_(12.0, 16.0]'})",0.08823529411764706,0.39705882352941174,0.051470588235294115,0.5833333333333333,1.4691358024691357,0.016435986159169545,1.4470588235294117,0.3502304147465437,3,0.08823529411764706
"frozenset({'edu_interaction_(12.0, 16.0]', 'age_children_interaction_(42.0, 87.0]'})",frozenset({'standard_of_living_index_3'}),0.125,0.28308823529411764,0.051470588235294115,0.4117647058823529,1.4545454545454546,0.01608455882352941,1.21875,0.3571428571428571,3,0.125
"frozenset({'husband_occupation_3', 'standard_of_living_index_4'})","frozenset({'edu_interaction_(6.0, 12.0]'})",0.11764705882352941,0.3492647058823529,0.058823529411764705,0.5,1.431578947368421,0.01773356401384083,1.3014705882352942,0.34166666666666673,3,0.11764705882352941
"frozenset({'standard_of_living_index_4', 'age_children_interaction_(42.0, 87.0]'})","frozenset({'edu_interaction_(12.0, 16.0]'})",0.125,0.39705882352941174,0.06985294117647059,0.5588235294117647,1.4074074074074074,0.020220588235294122,1.366666666666667,0.33082706766917297,3,0.125
"frozenset({'standard_of_living_index_4', 'husband_occupation_2'})","frozenset({'edu_interaction_(6.0, 12.0]'})",0.13602941176470587,0.3492647058823529,0.0661764705882353,0.4864864864864865,1.392887624466572,0.01866619809688582,1.2672213622291022,0.32647754137115853,3,0.13602941176470587
"frozenset({'standard_of_living_index_4', 'age_children_interaction_(42.0, 87.0]'})",frozenset({'husband_occupation_2'}),0.125,0.2757352941176471,0.04779411764705882,0.38235294117647056,1.3866666666666665,0.013327205882352935,1.1726190476190474,0.31868131868131855,3,0.125
"frozenset({'edu_interaction_(12.0, 16.0]'})",frozenset({'standard_of_living_index_4'}),0.39705882352941174,0.4963235294117647,0.27205882352941174,0.6851851851851851,1.3805212620027434,0.07498918685121106,1.5999134948096883,0.45715227422544485,2,0.39705882352941174
"frozenset({'Cluster_(3.0, 4.0]', 'edu_interaction_(12.0, 16.0]'})",frozenset({'standard_of_living_index_4'}),0.39705882352941174,0.4963235294117647,0.27205882352941174,0.6851851851851851,1.3805212620027434,0.07498918685121106,1.5999134948096883,0.45715227422544485,3,0.39705882352941174
"frozenset({'edu_interaction_(12.0, 16.0]'})","frozenset({'Cluster_(3.0, 4.0]', 'standard_of_living_index_4'})",0.39705882352941174,0.4963235294117647,0.27205882352941174,0.6851851851851851,1.3805212620027434,0.07498918685121106,1.5999134948096883,0.45715227422544485,3,0.39705882352941174
frozenset({'standard_of_living_index_4'}),"frozenset({'edu_interaction_(12.0, 16.0]'})",0.4963235294117647,0.39705882352941174,0.27205882352941174,0.548148148148148,1.3805212620027434,0.07498918685121106,1.3343780135004821,0.5472479779049122,2,0.4963235294117647
"frozenset({'Cluster_(3.0, 4.0]', 'standard_of_living_index_4'})","frozenset({'edu_interaction_(12.0, 16.0]'})",0.4963235294117647,0.39705882352941174,0.27205882352941174,0.548148148148148,1.3805212620027434,0.07498918685121106,1.3343780135004821,0.5472479779049122,3,0.4963235294117647
frozenset({'standard_of_living_index_4'}),"frozenset({'Cluster_(3.0, 4.0]', 'edu_interaction_(12.0, 16.0]'})",0.4963235294117647,0.39705882352941174,0.27205882352941174,0.548148148148148,1.3805212620027434,0.07498918685121106,1.3343780135004821,0.5472479779049122,3,0.4963235294117647
frozenset({'husband_occupation_2'}),"frozenset({'edu_interaction_(6.0, 12.0]'})",0.2757352941176471,0.3492647058823529,0.1323529411764706,0.48,1.3743157894736842,0.03604833477508651,1.2514140271493213,0.37605752961082917,2,0.2757352941176471
"frozenset({'Cluster_(3.0, 4.0]', 'husband_occupation_2'})","frozenset({'edu_interaction_(6.0, 12.0]'})",0.2757352941176471,0.3492647058823529,0.1323529411764706,0.48,1.3743157894736842,0.03604833477508651,1.2514140271493213,0.37605752961082917,3,0.2757352941176471
frozenset({'husband_occupation_2'}),"frozenset({'Cluster_(3.0, 4.0]', 'edu_interaction_(6.0, 12.0]'})",0.2757352941176471,0.3492647058823529,0.1323529411764706,0.48,1.3743157894736842,0.03604833477508651,1.2514140271493213,0.37605752961082917,3,0.2757352941176471
"frozenset({'edu_interaction_(6.0, 12.0]'})",frozenset({'husband_occupation_2'}),0.3492647058823529,0.2757352941176471,0.1323529411764706,0.37894736842105264,1.3743157894736842,0.03604833477508651,1.166188933200399,0.4185499058380415,2,0.3492647058823529
"frozenset({'Cluster_(3.0, 4.0]', 'edu_interaction_(6.0, 12.0]'})",frozenset({'husband_occupation_2'}),0.3492647058823529,0.2757352941176471,0.1323529411764706,0.37894736842105264,1.3743157894736842,0.03604833477508651,1.166188933200399,0.4185499058380415,3,0.3492647058823529
"frozenset({'edu_interaction_(6.0, 12.0]'})","frozenset({'Cluster_(3.0, 4.0]', 'husband_occupation_2'})",0.3492647058823529,0.2757352941176471,0.1323529411764706,0.37894736842105264,1.3743157894736842,0.03604833477508651,1.166188933200399,0.4185499058380415,3,0.3492647058823529
"frozenset({'age_children_interaction_(42.0, 87.0]', 'standard_of_living_index_3'})",frozenset({'husband_occupation_3'}),0.08823529411764706,0.375,0.04411764705882353,0.5,1.3333333333333333,0.011029411764705885,1.25,0.27419354838709686,3,0.08823529411764706
"frozenset({'edu_interaction_(12.0, 16.0]', 'husband_occupation_2'})",frozenset({'standard_of_living_index_4'}),0.07352941176470588,0.4963235294117647,0.04779411764705882,0.6499999999999999,1.3096296296296295,0.011299740484429062,1.4390756302521004,0.2551892551892551,3,0.07352941176470588
"frozenset({'edu_interaction_(6.0, 12.0]', 'standard_of_living_index_3'})",frozenset({'husband_occupation_3'}),0.09926470588235294,0.375,0.04779411764705882,0.48148148148148145,1.2839506172839505,0.010569852941176468,1.2053571428571426,0.24552590266875976,3,0.09926470588235294
