antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric,total_items,coverage
"frozenset({'edu_interaction_(6.0, 12.0]', 'age_children_interaction_(42.0, 87.0]'})",frozenset({'husband_occupation_2'}),0.08679245283018867,0.2830188679245283,0.05660377358490566,0.6521739130434783,2.3043478260869565,0.03203987184051264,2.061320754716981,0.6198347107438017,3,0.08679245283018867
"frozenset({'husband_occupation_2', 'age_children_interaction_(42.0, 87.0]'})","frozenset({'edu_interaction_(6.0, 12.0]'})",0.08679245283018867,0.35094339622641507,0.05660377358490566,0.6521739130434783,1.8583450210378682,0.02614453542185832,1.866037735849057,0.5057851239669423,3,0.08679245283018867
"frozenset({'edu_interaction_(12.0, 16.0]', 'age_children_interaction_(87.0, 164.0]'})",frozenset({'standard_of_living_index_4'}),0.1018867924528302,0.49056603773584906,0.08679245283018867,0.8518518518518517,1.7364672364672362,0.03681025275898896,3.4386792452830166,0.47223237120935324,3,0.1018867924528302
"frozenset({'standard_of_living_index_4', 'age_children_interaction_(87.0, 164.0]'})","frozenset({'edu_interaction_(12.0, 16.0]'})",0.13584905660377358,0.4075471698113208,0.08679245283018867,0.6388888888888888,1.5676440329218104,0.03142755428978283,1.6406386066763423,0.41902411239794934,3,0.13584905660377358
frozenset({'standard_of_living_index_2'}),frozenset({'husband_occupation_3'}),0.1660377358490566,0.3849056603773585,0.09811320754716982,0.5909090909090909,1.535204991087344,0.03420434318262727,1.5035639412997903,0.4180299338670379,2,0.1660377358490566
"frozenset({'Cluster_(5.0, 8.0]', 'standard_of_living_index_2'})",frozenset({'husband_occupation_3'}),0.1660377358490566,0.3849056603773585,0.09811320754716982,0.5909090909090909,1.535204991087344,0.03420434318262727,1.5035639412997903,0.4180299338670379,3,0.1660377358490566
frozenset({'standard_of_living_index_2'}),"frozenset({'husband_occupation_3', 'Cluster_(5.0, 8.0]'})",0.1660377358490566,0.3849056603773585,0.09811320754716982,0.5909090909090909,1.535204991087344,0.03420434318262727,1.5035639412997903,0.4180299338670379,3,0.1660377358490566
