level_1,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric,total_items,coverage
7,frozenset({'husband_occupation_2'}),frozenset({'standard_of_living_index_2'}),0.33663366336633666,0.3564356435643564,0.19801980198019803,0.5882352941176471,1.650326797385621,0.0780315655327909,1.562942008486563,0.5940298507462687,2,0.33663366336633666
8,frozenset({'standard_of_living_index_2'}),frozenset({'husband_occupation_2'}),0.3564356435643564,0.33663366336633666,0.19801980198019803,0.5555555555555556,1.6503267973856208,0.0780315655327909,1.4925742574257426,0.6123076923076922,2,0.3564356435643564
11,"frozenset({'husband_occupation_2', 'age_children_interaction_(164.0, 768.0]'})",frozenset({'standard_of_living_index_2'}),0.1782178217821782,0.3564356435643564,0.10891089108910891,0.6111111111111112,1.7145061728395063,0.045387707087540446,1.6548797736916552,0.507119386637459,3,0.1782178217821782
13,"frozenset({'age_children_interaction_(164.0, 768.0]', 'standard_of_living_index_2'})",frozenset({'husband_occupation_2'}),0.15841584158415842,0.33663366336633666,0.10891089108910891,0.6875,2.0422794117647056,0.05558278600137241,2.1227722772277224,0.6064171122994653,3,0.15841584158415842
14,frozenset({'husband_occupation_2'}),"frozenset({'age_children_interaction_(164.0, 768.0]', 'standard_of_living_index_2'})",0.33663366336633666,0.15841584158415842,0.10891089108910891,0.32352941176470584,2.0422794117647056,0.05558278600137241,1.2440809298321136,0.7693351424694709,3,0.33663366336633666
16,frozenset({'standard_of_living_index_2'}),"frozenset({'husband_occupation_2', 'age_children_interaction_(164.0, 768.0]'})",0.3564356435643564,0.1782178217821782,0.10891089108910891,0.3055555555555556,1.7145061728395063,0.045387707087540446,1.1833663366336635,0.6475524475524477,3,0.3564356435643564
23,"frozenset({'husband_occupation_3', 'age_children_interaction_(164.0, 768.0]'})",frozenset({'standard_of_living_index_3'}),0.19801980198019803,0.19801980198019803,0.0594059405940594,0.3,1.515,0.020194098617782562,1.1456859971711457,0.42386831275720144,3,0.19801980198019803
24,frozenset({'standard_of_living_index_3'}),"frozenset({'husband_occupation_3', 'age_children_interaction_(164.0, 768.0]'})",0.19801980198019803,0.19801980198019803,0.0594059405940594,0.3,1.515,0.020194098617782562,1.1456859971711457,0.42386831275720144,3,0.19801980198019803
25,"frozenset({'standard_of_living_index_3', 'husband_occupation_2'})","frozenset({'age_children_interaction_(164.0, 768.0]'})",0.06930693069306931,0.43564356435643564,0.04950495049504951,0.7142857142857143,1.6396103896103897,0.01931183217331634,1.9752475247524754,0.4191489361702128,3,0.06930693069306931
33,"frozenset({'standard_of_living_index_3', 'age_children_interaction_(42.0, 87.0]'})",frozenset({'husband_occupation_3'}),0.039603960396039604,0.48514851485148514,0.0297029702970297,0.75,1.5459183673469388,0.010489167728654051,2.0594059405940595,0.3676975945017182,3,0.039603960396039604
35,"frozenset({'husband_occupation_2', 'age_children_interaction_(42.0, 87.0]'})",frozenset({'standard_of_living_index_2'}),0.04950495049504951,0.3564356435643564,0.0297029702970297,0.6,1.6833333333333333,0.012057641407705124,1.6089108910891088,0.42708333333333326,3,0.04950495049504951
36,"frozenset({'standard_of_living_index_2', 'age_children_interaction_(42.0, 87.0]'})",frozenset({'husband_occupation_2'}),0.0594059405940594,0.33663366336633666,0.0297029702970297,0.5,1.4852941176470587,0.009704930889128514,1.3267326732673266,0.3473684210526315,3,0.0594059405940594
45,"frozenset({'age_children_interaction_(42.0, 87.0]'})",frozenset({'standard_of_living_index_4'}),0.19801980198019803,0.16831683168316833,0.04950495049504951,0.25,1.4852941176470587,0.016174884815214195,1.1089108910891088,0.4074074074074074,2,0.19801980198019803
46,frozenset({'standard_of_living_index_4'}),"frozenset({'age_children_interaction_(42.0, 87.0]'})",0.16831683168316833,0.19801980198019803,0.04950495049504951,0.29411764705882354,1.4852941176470589,0.016174884815214195,1.1361386138613863,0.39285714285714285,2,0.16831683168316833
51,"frozenset({'edu_interaction_(6.0, 12.0]'})","frozenset({'age_children_interaction_(87.0, 164.0]'})",0.1485148514851485,0.21782178217821782,0.06930693069306931,0.46666666666666673,2.1424242424242426,0.03695716106264092,1.4665841584158419,0.6262458471760798,2,0.1485148514851485
52,"frozenset({'age_children_interaction_(87.0, 164.0]'})","frozenset({'edu_interaction_(6.0, 12.0]'})",0.21782178217821782,0.1485148514851485,0.06930693069306931,0.31818181818181823,2.142424242424243,0.03695716106264092,1.248844884488449,0.6817359855334538,2,0.21782178217821782
53,"frozenset({'edu_interaction_(6.0, 12.0]'})",frozenset({'standard_of_living_index_4'}),0.1485148514851485,0.16831683168316833,0.039603960396039604,0.26666666666666666,1.584313725490196,0.014606411136163122,1.134113411341134,0.433139534883721,2,0.1485148514851485
54,frozenset({'standard_of_living_index_4'}),"frozenset({'edu_interaction_(6.0, 12.0]'})",0.16831683168316833,0.1485148514851485,0.039603960396039604,0.23529411764705882,1.5843137254901962,0.014606411136163122,1.1134805788271136,0.443452380952381,2,0.16831683168316833
55,"frozenset({'edu_interaction_(6.0, 12.0]', 'standard_of_living_index_2'})","frozenset({'age_children_interaction_(87.0, 164.0]'})",0.0594059405940594,0.21782178217821782,0.0297029702970297,0.5,2.2954545454545454,0.016763062444858347,1.5643564356435644,0.6,3,0.0594059405940594
57,"frozenset({'standard_of_living_index_2', 'age_children_interaction_(87.0, 164.0]'})","frozenset({'edu_interaction_(6.0, 12.0]'})",0.07920792079207921,0.1485148514851485,0.0297029702970297,0.375,2.525,0.01793941770414665,1.3623762376237623,0.6559139784946236,3,0.07920792079207921
58,"frozenset({'edu_interaction_(6.0, 12.0]', 'husband_occupation_3'})","frozenset({'age_children_interaction_(87.0, 164.0]'})",0.04950495049504951,0.21782178217821782,0.0297029702970297,0.6,2.7545454545454544,0.01891971375355357,1.9554455445544554,0.6701388888888888,3,0.04950495049504951
60,"frozenset({'husband_occupation_3', 'age_children_interaction_(87.0, 164.0]'})","frozenset({'edu_interaction_(6.0, 12.0]'})",0.0891089108910891,0.1485148514851485,0.0297029702970297,0.3333333333333333,2.2444444444444445,0.01646897363003627,1.277227722772277,0.6086956521739131,3,0.0891089108910891
