antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric,total_items,coverage
"frozenset({'edu_interaction_(12.0, 16.0]', 'age_children_interaction_(87.0, 164.0]'})",frozenset({'standard_of_living_index_4'}),0.08904109589041095,0.4280821917808219,0.0684931506849315,0.7692307692307693,1.796923076923077,0.030376243197598046,2.4783105022831053,0.4868421052631579,3,0.08904109589041095
"frozenset({'standard_of_living_index_4', 'age_children_interaction_(87.0, 164.0]'})","frozenset({'edu_interaction_(12.0, 16.0]'})",0.11643835616438356,0.3333333333333333,0.0684931506849315,0.5882352941176471,1.7647058823529413,0.02968036529680365,1.6190476190476193,0.4904392764857881,3,0.11643835616438356
"frozenset({'age_children_interaction_(164.0, 768.0]', 'edu_interaction_(12.0, 16.0]'})",frozenset({'standard_of_living_index_4'}),0.07534246575342465,0.4280821917808219,0.0547945205479452,0.7272727272727273,1.698909090909091,0.022541752674047663,2.09703196347032,0.4449074074074074,3,0.07534246575342465
frozenset({'standard_of_living_index_4'}),"frozenset({'edu_interaction_(12.0, 16.0]'})",0.4280821917808219,0.3333333333333333,0.2134703196347032,0.4986666666666667,1.4960000000000002,0.07077625570776258,1.3297872340425534,0.5797175702071794,2,0.4280821917808219
"frozenset({'edu_interaction_(12.0, 16.0]'})",frozenset({'standard_of_living_index_4'}),0.3333333333333333,0.4280821917808219,0.2134703196347032,0.6404109589041096,1.496,0.07077625570776258,1.5904761904761904,0.49732620320855625,2,0.3333333333333333
"frozenset({'standard_of_living_index_3', 'age_children_interaction_(42.0, 87.0]'})","frozenset({'edu_interaction_(6.0, 12.0]'})",0.09246575342465753,0.3904109589041096,0.05365296803652968,0.5802469135802469,1.4862464803985271,0.017553324576218172,1.452256244963739,0.3604977920513849,3,0.09246575342465753
"frozenset({'age_children_interaction_(42.0, 87.0]', 'edu_interaction_(12.0, 16.0]'})",frozenset({'standard_of_living_index_4'}),0.07990867579908675,0.4280821917808219,0.04794520547945205,0.6,1.4016,0.013737724401075874,1.429794520547945,0.31141439205955335,3,0.07990867579908675
"frozenset({'edu_interaction_(6.0, 12.0]', 'age_children_interaction_(42.0, 87.0]'})",frozenset({'standard_of_living_index_3'}),0.11757990867579908,0.3287671232876712,0.05365296803652968,0.4563106796116505,1.3879449838187703,0.014996559704760118,1.2345890410958904,0.31675428697255786,3,0.11757990867579908
